;Total;0-15;16-64;65 y más
11 la Seu;2978;379;2028;571
12 la Xerea;3885;502;2448;935
13 el Carme;6384;768;4309;1307
14 el Pilar;4588;560;3186;842
15 el Mercat;3530;435;2444;651
16 Sant Francesc;5445;684;3334;1427
21 Russafa;23864;3315;15470;5079
22 el Pla del Remei;7005;1043;4183;1779
23 Gran Via;11746;1854;6970;2922
31 el Botànic;6631;906;4351;1374
32 la Roqueta;4413;531;2917;965
33 la Petxina;15030;2217;9339;3474
34 Arrancapins;22401;3050;13940;5411
41 Campanar;11601;1464;7353;2784
42 les Tendetes;5205;580;3355;1270
43 el Calvari;4741;538;3016;1187
44 Sant Pau;16227;3748;10425;2054
51 Marxalenes;10552;1275;6534;2743
52 Morvedre;10256;1337;6389;2530
53 Trinitat;7876;975;4891;2010
54 Tormos;8489;1265;5624;1600
55 Sant Antoni;9718;1368;6338;2012
61 Exposició;6702;998;4001;1703
62 Mestalla;14550;2212;9280;3058
63 Jaume Roig;6460;1060;3797;1603
64 Ciutat Universitària;2650;402;1586;662
71 Nou Moles;25901;3260;16545;6096
72 Soternes;5024;748;3136;1140
73 Tres Forques;8816;1198;5507;2111
74 la Fontsanta;3518;595;2262;661
75 la Llum;5052;714;3378;960
81 Patraix;24555;3356;15723;5476
82 Sant Isidre;9891;1568;6910;1413
83 Vara de Quart;10426;1214;6876;2336
84 Safranar;9143;1546;6109;1488
85 Favara;3615;546;2469;600
91 la Raiosa;15417;2092;10058;3267
92 l'Hort de Senabre;17024;2341;11355;3328
93 la Creu Coberta;6117;739;4246;1132
94 Sant Marcel·lí;9963;1296;6435;2232
95 Camí Real;3705;715;2527;463
101 Mont-Olivet;19555;2649;12258;4648
102 en Corts;12001;1674;7849;2478
103 Malilla;22026;3394;14299;4333
104 Fonteta de Sant Lluís;2901;426;1881;594
105 na Rovella;7890;1113;5013;1764
106 la Punta;2610;427;1715;468
107 Ciutat de les Arts i de les Ciències;6786;1355;4750;681
111 el Grau;9336;1524;6289;1523
112 el Cabanyal- el Canyamelar;20170;3091;12807;4272
113 la Malva-rosa;13137;1791;8621;2725
114 Beteró;8047;1198;5429;1420
115 Natzaret;5953;978;3793;1182
121 Aiora;25092;3741;16740;4611
122 Albors;8651;1140;5621;1890
123 la Creu del Grau;14765;2279;9770;2716
124 Camí Fondo;4574;635;3049;890
125 Penya-roja;12238;2991;7956;1291
131 l'Illa Perduda;8716;1138;5605;1973
132 Ciutat Jardí;11958;1190;7888;2880
133 l'Amistat;7174;856;4660;1658
134 la Bega Baixa;5689;749;3626;1314
135 la Carrasca;3506;442;2437;627
141 Benimaclet;23631;2954;15653;5024
142 Camí de Vera;5407;628;3837;942
151 Orriols;16019;2396;10400;3223
152 Torrefiel;26038;3960;17120;4958
153 Sant Llorenç;10707;2568;7099;1040
161 Benicalap;39906;6599;26387;6920
162 Ciutat Fallera;5732;847;3798;1087
171 Benifaraig;1014;158;652;204
172 Poble Nou;855;106;546;203
173 Carpesa;1216;145;786;285
174 Cases de Bàrcena;355;42;222;91
175 Mauella;47;4;26;17
176 Massarrojos;2327;503;1470;354
177 Borbotó;721;115;432;174
181 Benimàmet;12888;2053;8467;2368
182 Beniferri;1117;200;785;132
191 el Forn d'Alcedo;1207;172;766;269
192 el Castellar-l'Oliverar;6827;1037;4355;1435
193 Pinedo;2533;344;1638;551
194 el Saler;1737;279;1162;296
195 el Palmar;759;79;444;236
196 el Perellonet;1407;209;978;220
197 la Torre;4706;652;3111;943
198 Faitanar;1061;154;814;93
