;Total;No sabe leer ni escribir;Titulación inferior a graduado escolar;Graduado escolar o equivalente;Bachiller, Formación Profesional de Segundo Grado o Títulos equivalentes o superiores;Desconocido
11 la Seu;2543;5;206;484;1848;0
12 la Xerea;3315;4;332;503;2476;0
13 el Carme;5549;21;784;1266;3478;0
14 el Pilar;3975;10;580;892;2493;0
15 el Mercat;3041;4;286;603;2148;0
16 Sant Francesc;4678;1;308;770;3599;0
21 Russafa;20167;37;2361;4636;13133;0
22 el Pla del Remei;5799;5;317;755;4722;0
23 Gran Via;9682;11;565;1427;7679;0
31 el Botànic;5623;11;699;1279;3634;0
32 la Roqueta;3802;4;519;944;2335;0
33 la Petxina;12547;15;1315;2981;8236;0
34 Arrancapins;18973;15;1954;4341;12663;0
41 Campanar;9962;27;1443;2873;5618;1
42 les Tendetes;4550;13;893;1394;2250;0
43 el Calvari;4138;48;1316;1555;1219;0
44 Sant Pau;12170;13;1185;2643;8328;1
51 Marxalenes;9113;46;2260;3178;3628;1
52 Morvedre;8756;17;1658;2753;4328;0
53 Trinitat;6809;24;1130;1824;3830;1
54 Tormos;7028;20;1731;2512;2765;0
55 Sant Antoni;8191;15;1444;2351;4381;0
61 Exposició;5582;4;332;752;4494;0
62 Mestalla;12087;11;1351;2451;8273;1
63 Jaume Roig;5246;3;303;597;4343;0
64 Ciutat Universitària;2201;1;118;301;1781;0
71 Nou Moles;22152;65;5109;7628;9349;1
72 Soternes;4203;7;986;1581;1629;0
73 Tres Forques;7451;67;2617;2726;2039;2
74 la Fontsanta;2859;47;1179;1063;570;0
75 la Llum;4230;21;897;1563;1748;1
81 Patraix;20740;33;3966;6060;10681;0
82 Sant Isidre;8052;24;1809;3035;3184;0
83 Vara de Quart;9006;28;1760;3102;4116;0
84 Safranar;7389;10;1167;2533;3679;0
85 Favara;2996;6;768;1006;1216;0
91 la Raiosa;13065;34;2914;3953;6160;4
92 l'Hort de Senabre;14363;68;4133;5033;5129;0
93 la Creu Coberta;5274;10;1334;1779;2151;0
94 Sant Marcel·lí;8475;57;2586;3321;2511;0
95 Camí Real;2929;5;670;1114;1140;0
101 Mont-Olivet;16569;39;3072;5777;7681;0
102 en Corts;10086;27;2296;3737;4025;1
103 Malilla;18183;56;3445;6917;7764;1
104 Fonteta de Sant Lluís;2409;12;837;958;602;0
105 na Rovella;6621;81;2692;2433;1414;1
106 la Punta;2138;15;770;723;630;0
107 Ciutat de les Arts i de les Ciències;5269;3;357;1128;3781;0
111 el Grau;7642;27;1863;2712;3040;0
112 el Cabanyal- el Canyamelar;16708;69;5320;5702;5617;0
113 la Malva-rosa;11110;91;3475;4181;3361;2
114 Beteró;6664;25;1645;2104;2890;0
115 Natzaret;4851;65;2071;1871;843;1
121 Aiora;20824;64;5520;7118;8117;5
122 Albors;7321;29;1386;2362;3544;0
123 la Creu del Grau;12222;60;3200;4303;4658;1
124 Camí Fondo;3843;13;784;1250;1796;0
125 Penya-roja;8950;2;509;1485;6953;1
131 l'Illa Perduda;7432;28;2003;2317;3082;2
132 Ciutat Jardí;10597;17;1584;2601;6394;1
133 l'Amistat;6209;32;1431;1805;2940;1
134 la Bega Baixa;4821;7;482;866;3466;0
135 la Carrasca;2987;1;261;517;2208;0
141 Benimaclet;20260;85;4238;5005;10932;0
142 Camí de Vera;4662;9;839;1363;2450;1
151 Orriols;13312;127;4439;5023;3721;2
152 Torrefiel;21629;136;6477;8097;6915;4
153 Sant Llorenç;7855;14;730;1692;5419;0
161 Benicalap;32528;201;8976;11133;12214;4
162 Ciutat Fallera;4737;41;1771;1736;1189;0
171 Benifaraig;839;2;216;301;320;0
172 Poble Nou;735;8;272;214;241;0
173 Carpesa;1049;6;352;338;353;0
174 Cases de Bàrcena;309;2;109;122;76;0
175 Mauella;43;0;16;8;19;0
176 Massarrojos;1757;6;268;368;1115;0
177 Borbotó;594;6;217;175;196;0
181 Benimàmet;10571;83;3142;4135;3210;1
182 Beniferri;893;0;142;234;517;0
191 el Forn d'Alcedo;1012;15;353;397;247;0
192 el Castellar-l'Oliverar;5653;51;1970;2005;1627;0
193 Pinedo;2154;14;566;878;696;0
194 el Saler;1418;1;181;388;848;0
195 el Palmar;675;4;260;256;155;0
196 el Perellonet;1164;0;189;356;619;0
197 la Torre;3985;21;1436;1582;946;0
198 Faitanar;898;1;136;356;405;0
