11; la Seu;1
12; la Xerea;2
13; el Carme;10
14; el Pilar;3
15; el Mercat;3
16; Sant Francesc;2
21; Russafa;23
22; el Pla del Remei;2
23; Gran Via;7
31; el Botànic;2
32; la Roqueta;8
33; la Petxina;7
34; Arrancapins;16
41; Campanar;6
42; les Tendetes;3
43; el Calvari;0
44; Sant Pau;18
51; Marxalenes;2
52; Morvedre;9
53; Trinitat;6
54; Tormos;8
55; Sant Antoni;12
61; Exposició;3
62; Mestalla;11
63; Jaume Roig;1
64; C. Universitària;1
71; Nou Moles;11
72; Soternes;4
73; Tres Forques;4
74; la Fontsanta;2
75; la Llum;2
81; Patraix;6
82; Sant Isidre;10
83; Vara de Quart;5
84; Safranar;4
85; Favara;3
91; la Raiosa;9
92; l'Hort de Senabre;6
93; la Creu Coberta;2
94; Sant Marcel·lí;3
95; Camí Real;3
101; Mont-Olivet;7
102; En Corts;6
103; Malilla;25
104; Fonteta de Sant Lluís;3
105; na Rovella;3
106; la Punta;4
107; Ciutat Arts i Ciències;12
111; el Grau;6
112; el Cabanyal-el Canyamelar;9
113; la Malva-rosa;8
114; Beteró;4
115; Natzaret;5
121; Aiora;15
122; Albors;6
123; la Creu del Grau;11
124; Camí Fondo;1
125; Penya-roja;12
131; l'Illa Perduda;2
132; Ciutat Jardí;4
133; l'Amistat;2
134; la Bega Baixa;3
135; la Carrasca;1
141; Benimaclet;13
142; Camí de Vera;6
151; Orriols;7
152; Torrefiel;15
153; Sant Llorenç;8
161; Benicalap;28
162; Ciutat Fallera;4
171; Benifaraig;6
172; Poble Nou;0
173; Carpesa;3
174; Cases de Bàrcena;0
175; Mauella;0
176; Massarrojos;2
177; Borbotó;3
181; Benimàmet;28
182; Beniferri;1
191; el Forn d'Alcedo;2
192; el Castellar-l'Oliverar;8
193; Pinedo;2
194; el Saler;8
195; el Palmar;1
196; el Perellonet;3
197; la Torre;4
198; Faitanar;5
