;Total;1;2;3;4;5;6;>=7
11 la Seu;1345;619;344;180;137;41;17;7
12 la Xerea;1677;684;453;239;169;73;35;24
13 el Carme;3211;1565;848;422;257;71;26;22
14 el Pilar;2149;1039;557;273;189;61;14;16
15 el Mercat;1749;880;417;214;156;50;14;18
16 Sant Francesc;2453;1015;618;369;283;113;31;24
21 Russafa;10972;4538;2903;1706;1211;379;134;101
22 el Pla del Remei;2726;892;670;446;414;207;64;33
23 Gran Via;4875;1713;1261;778;681;315;81;46
31 el Botànic;2938;1291;744;428;326;100;26;23
32 la Roqueta;2075;911;551;280;216;65;26;26
33 la Petxina;6365;2252;1692;1125;855;273;93;75
34 Arrancapins;9654;3464;2640;1626;1310;410;113;91
41 Campanar;4678;1350;1313;1002;723;202;47;41
42 les Tendetes;2276;781;674;425;269;85;21;21
43 el Calvari;2125;781;662;361;184;74;31;32
44 Sant Pau;6095;1626;1434;1275;1275;345;79;61
51 Marxalenes;4479;1447;1329;857;545;190;69;42
52 Morvedre;4226;1463;1197;790;526;146;55;49
53 Trinitat;3526;1395;940;596;386;123;47;39
54 Tormos;3475;1137;920;631;532;144;62;49
55 Sant Antoni;3914;1226;1085;731;603;170;51;48
61 Exposició;2592;827;659;441;355;191;71;48
62 Mestalla;6059;2089;1550;1067;883;324;94;52
63 Jaume Roig;2412;699;621;399;354;222;68;49
64 Ciutat Universitària;1060;355;275;174;160;52;27;17
71 Nou Moles;11116;3873;3095;2022;1409;443;141;133
72 Soternes;2103;702;567;407;295;78;29;25
73 Tres Forques;3742;1346;1045;649;416;167;70;49
74 la Fontsanta;1340;424;336;243;194;81;30;32
75 la Llum;1978;557;530;401;363;86;29;12
81 Patraix;10349;3361;2890;1977;1525;376;124;96
82 Sant Isidre;3815;917;1003;926;785;129;34;21
83 Vara de Quart;4168;1086;1227;950;666;147;60;32
84 Safranar;3565;895;962;802;710;135;41;20
85 Favara;1475;468;382;306;231;54;17;17
91 la Raiosa;6497;2204;1797;1229;865;224;85;93
92 l'Hort de Senabre;6736;1845;1852;1503;1108;252;90;86
93 la Creu Coberta;2461;662;693;575;393;95;22;21
94 Sant Marcel·lí;4156;1269;1221;863;574;137;46;46
95 Camí Real;1555;504;383;350;258;39;12;9
101 Mont-Olivet;8263;2819;2333;1471;1034;361;129;116
102 en Corts;5007;1704;1347;937;647;216;80;76
103 Malilla;8734;2276;2455;1955;1577;302;104;65
104 Fonteta de Sant Lluís;1138;309;324;255;163;52;22;13
105 na Rovella;2950;794;811;595;410;179;77;84
106 la Punta;1067;383;280;197;125;42;15;25
107 Ciutat de les Arts i de les Ciències;2724;827;659;551;531;113;31;12
111 el Grau;3774;1207;972;732;603;162;47;51
112 el Cabanyal- el Canyamelar;8603;3268;2248;1462;1027;317;123;158
113 la Malva-rosa;5432;1651;1577;1141;748;180;69;66
114 Beteró;3160;875;832;686;566;123;38;40
115 Natzaret;2354;720;648;446;345;106;42;47
121 Aiora;10200;3146;2778;2003;1624;372;157;120
122 Albors;3647;1263;964;671;504;164;57;24
123 la Creu del Grau;6049;1893;1614;1232;919;240;76;75
124 Camí Fondo;1877;593;506;388;256;84;28;22
125 Penya-roja;4575;1204;1010;926;1070;289;50;26
131 l'Illa Perduda;3635;1094;1060;721;581;118;34;27
132 Ciutat Jardí;5271;1837;1524;963;707;156;48;36
133 l'Amistat;3094;1114;852;565;364;115;36;48
134 la Bega Baixa;2330;751;611;431;367;114;36;20
135 la Carrasca;1393;459;346;263;233;63;15;14
141 Benimaclet;10088;3529;2783;1837;1324;393;124;98
142 Camí de Vera;2129;531;578;517;397;75;21;10
151 Orriols;6347;2038;1705;1152;859;298;141;154
152 Torrefiel;10192;2813;2862;2136;1550;462;189;180
153 Sant Llorenç;3923;943;833;915;945;209;45;33
161 Benicalap;16043;4715;4320;3299;2657;676;215;161
162 Ciutat Fallera;2228;598;628;444;374;112;40;32
171 Benifaraig;408;117;109;84;74;17;5;2
172 Poble Nou;347;116;91;64;45;14;8;9
173 Carpesa;474;120;120;127;80;16;6;5
174 Cases de Bàrcena;157;57;46;30;14;3;5;2
175 Mauella;26;13;6;6;1;0;0;0
176 Massarrojos;808;196;169;156;209;65;7;6
177 Borbotó;276;77;72;51;47;17;10;2
181 Benimàmet;5250;1493;1502;1118;844;196;54;43
182 Beniferri;437;119;115;95;80;18;4;6
191 el Forn d'Alcedo;479;121;150;99;73;26;6;4
192 el Castellar-l'Oliverar;2660;659;760;598;482;100;34;27
193 Pinedo;996;274;277;218;163;40;13;11
194 el Saler;787;322;189;128;101;36;10;1
195 el Palmar;274;60;73;60;52;18;7;4
196 el Perellonet;663;285;165;105;77;25;3;3
197 la Torre;1974;618;569;415;238;91;21;22
198 Faitanar;575;293;158;74;38;6;2;4
